key,country_key,date_key,education_key,health_key,quality_of_life_key,event_key,avg_births,avg_deaths,HDI
1743,3,114,57,57,57,913,24599886.000000004,9342487.0,0.616
1744,3,114,57,57,57,916,24599886.000000004,9342487.0,0.616
1745,3,114,57,57,57,933,24599886.000000004,9342487.0,0.616
1746,3,114,57,57,57,934,24599886.000000004,9342487.0,0.616
1747,3,114,57,57,57,936,24599886.000000004,9342487.0,0.616
1748,4,114,73,73,73,1670,17555088.0,9790778.0,0.731
1749,4,114,73,73,73,1681,17555088.0,9790778.0,0.731
1750,4,114,73,73,73,1694,17555088.0,9790778.0,0.731
1751,4,114,73,73,73,1695,17555088.0,9790778.0,0.731
1752,4,114,73,73,73,1696,17555088.0,9790778.0,0.731
1753,4,114,73,73,73,1699,17555088.0,9790778.0,0.731
1754,4,114,73,73,73,1707,17555088.0,9790778.0,0.731
1755,4,114,73,73,73,1713,17555088.0,9790778.0,0.731
1756,4,114,73,73,73,2484,17555088.0,9790778.0,0.731
1757,6,114,103,105,105,2020,3015382.0,860311.0,0.579
1758,7,114,119,121,121,2146,2966854.0000000005,1256073.9999999998,0.756
1759,1,115,25,25,25,277,3918023.0,2639460.0,0.92
1760,2,115,41,41,41,565,2272826.0,681794.0,0.761
1761,3,115,57,57,57,919,24599886.000000004,9342487.0,0.616
1762,3,115,57,57,57,922,24599886.000000004,9342487.0,0.616
1763,3,115,57,57,57,2391,24599886.000000004,9342487.0,0.616
1764,4,115,73,73,73,1667,17555088.0,9790778.0,0.731
1765,4,115,73,73,73,1671,17555088.0,9790778.0,0.731
1766,4,115,73,73,73,1672,17555088.0,9790778.0,0.731
1767,4,115,73,73,73,1675,17555088.0,9790778.0,0.731
1768,4,115,73,73,73,1677,17555088.0,9790778.0,0.731
1769,4,115,73,73,73,1701,17555088.0,9790778.0,0.731
1770,4,115,73,73,73,1703,17555088.0,9790778.0,0.731
1771,4,115,73,73,73,2485,17555088.0,9790778.0,0.731
1772,4,115,73,73,73,2486,17555088.0,9790778.0,0.731
1773,5,115,89,89,89,2529,1283402.0,286705.0,0.499
1774,5,115,89,89,89,2530,1283402.0,286705.0,0.499
1775,5,115,89,89,89,2531,1283402.0,286705.0,0.499
1776,7,115,119,121,121,2145,2966854.0000000005,1256073.9999999998,0.756
1777,0,116,9,9,9,35,385216.0,264522.0,0.918
1778,1,116,25,25,25,280,3918023.0,2639460.0,0.92
1779,1,116,25,25,25,290,3918023.0,2639460.0,0.92
1780,1,116,25,25,25,292,3918023.0,2639460.0,0.92
1781,2,116,41,41,41,562,2272826.0,681794.0,0.761
1782,3,116,57,57,57,912,24599886.000000004,9342487.0,0.616
1783,3,116,57,57,57,920,24599886.000000004,9342487.0,0.616
1784,3,116,57,57,57,921,24599886.000000004,9342487.0,0.616
1785,3,116,57,57,57,931,24599886.000000004,9342487.0,0.616
1786,3,116,57,57,57,938,24599886.000000004,9342487.0,0.616
1787,4,116,73,73,73,1673,17555088.0,9790778.0,0.731
1788,4,116,73,73,73,1674,17555088.0,9790778.0,0.731
1789,4,116,73,73,73,1678,17555088.0,9790778.0,0.731
1790,4,116,73,73,73,1684,17555088.0,9790778.0,0.731
1791,4,116,73,73,73,1700,17555088.0,9790778.0,0.731
1792,4,116,73,73,73,1704,17555088.0,9790778.0,0.731
1793,4,116,73,73,73,1705,17555088.0,9790778.0,0.731
1794,4,116,73,73,73,2487,17555088.0,9790778.0,0.731
1795,6,116,103,105,105,2018,3015382.0,860311.0,0.579
1796,6,116,103,105,105,2023,3015382.0,860311.0,0.579
1797,2,117,41,41,41,559,2272826.0,681794.0,0.761
1798,2,117,41,41,41,561,2272826.0,681794.0,0.761
1799,2,117,41,41,41,562,2272826.0,681794.0,0.761
1800,2,117,41,41,41,563,2272826.0,681794.0,0.761
1801,3,117,57,57,57,912,24599886.000000004,9342487.0,0.616
1802,3,117,57,57,57,914,24599886.000000004,9342487.0,0.616
1803,3,117,57,57,57,926,24599886.000000004,9342487.0,0.616
1804,3,117,57,57,57,927,24599886.000000004,9342487.0,0.616
1805,3,117,57,57,57,2392,24599886.000000004,9342487.0,0.616
1806,4,117,73,73,73,1666,17555088.0,9790778.0,0.731
1807,4,117,73,73,73,1676,17555088.0,9790778.0,0.731
1808,4,117,73,73,73,1682,17555088.0,9790778.0,0.731
1809,4,117,73,73,73,1697,17555088.0,9790778.0,0.731
1810,4,117,73,73,73,1702,17555088.0,9790778.0,0.731
1811,4,117,73,73,73,1714,17555088.0,9790778.0,0.731
1812,4,117,73,73,73,2488,17555088.0,9790778.0,0.731
1813,4,117,73,73,73,2489,17555088.0,9790778.0,0.731
1814,4,117,73,73,73,2490,17555088.0,9790778.0,0.731
1815,4,117,73,73,73,2491,17555088.0,9790778.0,0.731
1816,5,117,89,89,89,2532,1283402.0,286705.0,0.499
1817,5,117,89,89,89,2533,1283402.0,286705.0,0.499
1818,6,117,103,105,105,2018,3015382.0,860311.0,0.579
1819,7,117,119,121,121,2149,2966854.0000000005,1256073.9999999998,0.756
1820,7,117,119,121,121,2150,2966854.0000000005,1256073.9999999998,0.756
1821,1,118,25,25,25,279,3918023.0,2639460.0,0.92
1822,2,118,41,41,41,560,2272826.0,681794.0,0.761
1823,3,118,57,57,57,914,24599886.000000004,9342487.0,0.616
1824,3,118,57,57,57,917,24599886.000000004,9342487.0,0.616
1825,3,118,57,57,57,932,24599886.000000004,9342487.0,0.616
1826,3,118,57,57,57,939,24599886.000000004,9342487.0,0.616
1827,4,118,73,73,73,1691,17555088.0,9790778.0,0.731
1828,7,118,119,121,121,2148,2966854.0000000005,1256073.9999999998,0.756
1829,7,118,119,121,121,2151,2966854.0000000005,1256073.9999999998,0.756
1830,8,118,135,137,137,2597,926427.0,183974.00000000003,0.365
1831,1,119,25,25,25,289,3918023.0,2639460.0,0.92
1832,3,119,57,57,57,2393,24599886.000000004,9342487.0,0.616
1833,3,119,57,57,57,2394,24599886.000000004,9342487.0,0.616
1834,3,119,57,57,57,2395,24599886.000000004,9342487.0,0.616
1835,4,119,73,73,73,1692,17555088.0,9790778.0,0.731
1836,4,119,73,73,73,1709,17555088.0,9790778.0,0.731
1837,4,119,73,73,73,2492,17555088.0,9790778.0,0.731
1838,5,119,89,89,89,2534,1283402.0,286705.0,0.499
1839,1,121,26,26,26,310,3899711.0,2689897.9999999995,0.921
