key,female_life_expectancy,male_life_expectancy,total_life_expectancy,net_Migration,population_growth,female_population,male_population,total_population,rural_population_percentage,rural_population_growth,urban_population_percentage,urban_population_growth
57,69.491,67.167,68.286,-2556451.0,1.145673402,47.99726994,52.00273006,1295600768.0,876033415.0,0.583778817,419567353.0,2.329156081
58,69.835,67.468,68.607,-2556451.0,1.116895913,48.00426758,51.99573242,1310152392.0,880723742.0,0.533976836,429428650.0,2.323153578
59,70.142,67.745,68.897,-2556451.0,1.090459321,48.01089325,51.98910675,1324517250.0,885015936.0,0.486164808,439501314.0,2.318510266
60,70.425,68.0,69.165,-2663434.0,1.06335943,48.01728596,51.98271404,1338676779.0,888881381.0,0.435814529,449795398.0,2.315210138
61,70.692,68.239,69.416,-2556451.0,1.037827848,48.02353964,51.97646036,1352642283.0,892338114.0,0.388131541,460304169.0,2.309469966
62,70.95,68.464,69.656,-2556451.0,1.013261249,48.0298343,51.9701657,1366417756.0,895386227.0,0.341005141,471031529.0,2.303752441
63,70.4088,67.9832,69.1482,-2556451.0,0.9894138,48.03632671,51.96367329,1380004385.0,898024053.0,0.294168929,481980332.0,2.297827591
64,74.845,71.297,72.985,-1824196.6666666667,0.58812499,48.64006378,51.35993622,1303720000.0,749352182.0,-1.781026631,554367818.0,3.882472976
65,75.17,71.551,73.271,-1824196.6666666667,0.558374367,48.63087189,51.36912811,1311020000.0,735901746.0,-1.811246341,575118254.0,3.674728093
66,75.508,71.788,73.553,-2178385.0,0.522271866,48.62283673,51.37716327,1317885000.0,722214159.0,-1.877489851,595670841.0,3.511255552
67,75.855,72.017,73.835,-1824196.6666666667,0.512386932,48.61652628,51.38347372,1324655000.0,708173810.0,-1.963215611,616481190.0,3.433957689
68,76.208,72.244,74.119,-1824196.6666666667,0.497381401,48.61254544,51.38745456,1331260000.0,693852712.0,-2.042985048,637407288.0,3.338102468
69,76.566,72.476,74.409,-1824196.6666666667,0.482959689,48.61129678,51.38870322,1337705000.0,679206337.0,-2.133474239,658498663.0,3.255365494
70,76.926,72.72,74.708,-1824196.6666666667,0.546457595,48.6130618,51.3869382,1345035000.0,665644371.0,-2.01694146,679390629.0,3.123377177
71,77.284,72.976,75.013,-1552209.0,0.678345459,48.6177331,51.3822669,1354190000.0,653193546.0,-1.888206999,700996454.0,3.130656596
72,77.635,73.242,75.321,-1824196.6666666667,0.666072978,48.62481668,51.37518332,1363240000.0,640545579.0,-1.955320006,722694421.0,3.048365006
73,77.972,73.517,75.629,-1824196.6666666667,0.63032639,48.63358264,51.36641736,1371860000.0,627502483.0,-2.057265243,744357517.0,2.953497442
74,78.288,73.793,75.928,-1824196.6666666667,0.581456147,48.64348716,51.35651284,1379860000.0,614037700.0,-2.169130106,765822300.0,2.842870548
75,78.574,74.061,76.21,-1824196.6666666667,0.573050906,48.6543796,51.3456204,1387790000.0,600413466.0,-2.243779902,787376534.0,2.775641769
76,78.828,74.315,76.47,-1741996.0,0.605245013,48.66634818,51.33365182,1396215000.0,586968786.0,-2.264688494,809246214.0,2.73966382
77,79.051,74.549,76.704,-1824196.6666666667,0.467672053,48.67937396,51.32062604,1402760000.0,572999405.0,-2.408696463,829760595.0,2.503400504
78,79.244,74.761,76.912,-1824196.6666666667,0.35474089,48.69349797,51.30650203,1407745000.0,558762145.0,-2.516079661,848982855.0,2.290177234
79,78.797,74.29580000000001,76.4448,-1824196.6666666667,0.225947587,48.70873716,51.29126284,1410929362.0,544223674.0,-2.636355392,866705688.0,2.066046718
80,62.493,58.636,60.525,-590277.6666666666,2.404564778,49.86930974,50.13069026,30949514.0,20810453.0,2.325773673,10139061.0,2.566478494
81,62.906,59.106,60.969,-590277.6666666666,2.275436866,49.91329306,50.08670694,31661824.0,21272630.0,2.196586135,10389194.0,2.437083719
