Event_key,country,start_year,start_month,start_day,end_year,end_month,end_day,event_type,total_affected,total_deaths
134,Brazil,2011,3.0,5.0,2011,3.0,5.0,Transport accident,26.0,26.0
135,Brazil,2011,4.0,21.0,2011,4.0,24.0,Flood,31600.0,12.0
136,Brazil,2011,5.0,8.0,2011,5.0,11.0,Flood,13000.0,2.0
137,Brazil,2011,7.0,23.0,2011,7.0,29.0,Flood,3000.0,3.0
138,Brazil,2011,12.0,3.0,2011,12.0,3.0,Transport accident,13.0,36.0
139,Brazil,2012,1.0,26.0,2012,1.0,26.0,Miscellaneous accident,6.0,39.0
140,Brazil,2012,3.0,17.0,2012,3.0,17.0,Transport accident,15.0,15.0
141,Brazil,2012,5.0,1.0,2012,5.0,20.0,Flood,210000.0,0.0
142,Brazil,2012,6.0,11.0,2012,6.0,12.0,Transport accident,15.0,15.0
143,Brazil,2012,7.0,16.0,2012,7.0,16.0,Transport accident,23.0,10.0
144,Brazil,2013,1.0,26.0,2013,1.0,27.0,Miscellaneous accident,100.0,235.0
145,Brazil,2013,3.0,17.0,2013,3.0,18.0,Flood,1510.0,30.0
146,Brazil,2013,4.0,19.0,2013,4.0,19.0,Transport accident,41.0,27.0
147,Brazil,2013,9.0,21.0,2013,9.0,22.0,Storm,13864.0,2.0
148,Brazil,2014,1.0,12.0,2014,1.0,13.0,Flood,600.0,20.0
149,Brazil,2014,5.0,18.0,2014,5.0,18.0,Transport accident,17.0,20.0
150,Brazil,2014,6.0,7.0,2014,6.0,30.0,Flood,500052.0,11.0
151,Brazil,2014,7.0,3.0,2014,7.0,14.0,Flood,50000.0,10.0
152,Brazil,2014,9.0,8.0,2014,9.0,8.0,Miscellaneous accident,2000.0,0.0
153,Brazil,2014,10.0,2.0,2014,10.0,2.0,Miscellaneous accident,600.0,1.0
154,Brazil,2015,1.0,6.0,2015,1.0,6.0,Transport accident,158.0,0.0
155,Brazil,2015,3.0,14.0,2015,3.0,14.0,Transport accident,54.0,54.0
156,Brazil,2015,4.0,1.0,2015,5.0,2.0,Flood,1000.0,5.0
157,Brazil,2015,7.0,10.0,2015,7.0,21.0,Flood,283140.0,3.0
158,Brazil,2015,9.0,6.0,2015,9.0,6.0,Transport accident,50.0,15.0
159,Brazil,2015,10.0,8.0,2015,10.0,20.0,Flood,5370.0,3.0
160,Brazil,2015,11.0,5.0,2015,11.0,5.0,Industrial accident,650.0,24.0
161,Brazil,2015,12.0,20.0,2015,12.0,26.0,Flood,9000.0,0.0
162,Brazil,2016,1.0,9.0,2016,1.0,15.0,Flood,50500.0,3.0
163,Brazil,2016,3.0,10.0,2016,3.0,11.0,Flood,30.0,30.0
164,Brazil,2016,6.0,9.0,2016,6.0,9.0,Transport accident,31.0,18.0
165,Brazil,2016,12.0,18.0,2017,4.0,1.0,Epidemic,777.0,261.0
166,Brazil,2017,6.0,19.0,2017,6.0,19.0,Transport accident,10.0,10.0
167,Brazil,2017,8.0,24.0,2017,8.0,24.0,Transport accident,21.0,21.0
168,Brazil,2018,1.0,13.0,2018,1.0,13.0,Transport accident,39.0,13.0
169,Brazil,2018,2.0,14.0,2018,2.0,16.0,Flood,250.0,4.0
170,Brazil,2018,3.0,20.0,2018,3.0,21.0,Flood,1000.0,3.0
171,Brazil,2018,5.0,2.0,2018,5.0,2.0,Miscellaneous accident,49.0,49.0
172,Brazil,2018,8.0,24.0,2018,8.0,24.0,Transport accident,22.0,22.0
173,Brazil,2018,11.0,10.0,2018,11.0,10.0,Landslide,300.0,15.0
174,Brazil,2018,12.0,17.0,2018,12.0,18.0,Miscellaneous accident,2517.0,0.0
175,Brazil,2019,1.0,11.0,2019,1.0,11.0,Flood,10000.0,4.0
176,Brazil,2019,2.0,8.0,2019,2.0,8.0,Miscellaneous accident,3.0,10.0
177,Brazil,2019,3.0,10.0,2019,3.0,11.0,Flood,1306.0,12.0
178,Brazil,2019,4.0,12.0,2019,4.0,18.0,Miscellaneous accident,10.0,24.0
179,Brazil,2019,6.0,16.0,2019,6.0,16.0,Transport accident,17.0,17.0
180,Brazil,2019,7.0,23.0,2019,7.0,24.0,Flood,12.0,12.0
181,Brazil,2019,9.0,12.0,2019,9.0,12.0,Miscellaneous accident,77.0,11.0
