disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2006-0566-USA,United States of America (the),2006,10.0,9.0,2006,10.0,14.0,Natural,Hydrological,Flood,Riverine flood,100.0,0.0
2006-0598-USA,United States of America (the),2006,11.0,5.0,2006,11.0,10.0,Natural,Hydrological,Flood,Riverine flood,1500.0,2.0
2006-0387-USA,United States of America (the),2006,7.0,14.0,2006,8.0,15.0,Natural,Meteorological,Extreme temperature,Heat wave,164.0,164.0
2006-0427-USA,United States of America (the),2006,7.0,30.0,2006,8.0,6.0,Natural,Meteorological,Extreme temperature,Heat wave,24.0,24.0
2006-0576-USA,United States of America (the),2006,10.0,26.0,2006,10.0,27.0,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",103.0,4.0
2006-0662-USA,United States of America (the),2006,12.0,3.0,2006,12.0,6.0,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",15.0,0.0
2006-0478-USA,United States of America (the),2006,8.0,27.0,2006,8.0,27.0,Technological,Technological,Transport accident,Air,1.0,49.0
2006-0399-USA,United States of America (the),2006,7.0,18.0,2006,7.0,18.0,Technological,Technological,Transport accident,Water,100.0,0.0
2006-0005-USA,United States of America (the),2006,1.0,2.0,2006,1.0,2.0,Technological,Technological,Industrial accident,Explosion,7.0,13.0
2006-0637-USA,United States of America (the),2006,11.0,26.0,2006,11.0,27.0,Technological,Technological,Miscellaneous accident,Fire,19.0,10.0
2006-0374-USA,United States of America (the),2006,7.0,9.0,2006,7.0,14.0,Natural,Climatological,Wildfire,None,167.0,1.0
2006-0744-USA,United States of America (the),2006,12.0,14.0,2006,12.0,15.0,Natural,Meteorological,Storm,None,10.0,10.0
2007-0026-USA,United States of America (the),2007,1.0,12.0,2007,1.0,17.0,Natural,Meteorological,Storm,None,220.0,65.0
2007-0066-USA,United States of America (the),2007,2.0,14.0,2007,2.0,15.0,Natural,Meteorological,Storm,Convective storm,16.0,16.0
2007-0048-USA,United States of America (the),2007,2.0,2.0,2007,2.0,2.0,Natural,Meteorological,Storm,Convective storm,6600.0,20.0
2007-0041-USA,United States of America (the),2007,1.0,15.0,2007,1.0,25.0,Natural,Hydrological,Flood,Riverine flood,24.0,24.0
2007-0383-USA,United States of America (the),2007,8.0,16.0,2007,8.0,27.0,Natural,Hydrological,Flood,Riverine flood,2840.0,26.0
2007-0581-USA,United States of America (the),2007,12.0,3.0,2007,12.0,7.0,Natural,Meteorological,Storm,None,1128.0,17.0
2007-0662-USA,United States of America (the),2007,5.0,4.0,2007,5.0,8.0,Natural,Meteorological,Storm,Convective storm,40.0,12.0
