key,country_name,alpha_code,Year,public_education_spending,primary_school_enrollment,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment,secondary_school_enrollment_female,secondary_school_enrollment_male,primary_completion_rate_female,primary_completion_rate_male,primary_completion_rate_total,female_literacy_rate,male_literacy_rate,adult_literacy_rate
30,Mexico,MEX,2012,5.10309982299805,110.413452148438,109.915298461914,110.894676208496,90.6671981811523,93.6471633911133,87.7582778930664,106.609817504883,105.429573059082,106.011009216309,93.1792373657227,95.3916320800781,94.228401184082
31,Mexico,MEX,2013,4.69605016708374,109.441482543945,109.007751464844,109.859748840332,93.3275527954102,95.9470520019531,90.7683868408203,109.926551818848,108.938812255859,109.42504119873,92.903938293457,95.1121063232422,93.9628524780273
32,Mexico,MEX,2014,5.25747013092041,108.005752563477,107.700401306152,108.299682617188,97.3433837890625,100.053466796875,94.6957931518555,110.774291992188,110.251930236816,110.508842468262,93.5913391113281,95.6204681396484,94.5558776855469
33,Mexico,MEX,2015,5.22942018508911,106.606109619141,106.471862792969,106.735076904297,100.832740783691,104.093780517578,97.6499176025391,105.017532348633,104.805809020996,104.909820556641,93.4854965209961,95.5493316650391,94.472282409668
34,Mexico,MEX,2016,4.90681982040405,106.277732849121,106.333168029785,106.224578857422,102.40406036377,106.149406433105,98.7559204101563,104.016471862793,103.924026489258,103.969390869141,93.9685211181641,95.8448181152344,94.859619140625
35,Mexico,MEX,2017,4.51821994781494,105.770011901855,106.034690856934,105.516571044922,104.385032653809,108.219902038574,100.659362792969,104.32096862793,103.883277893066,104.097839355469,94.1657562255859,95.8723678588867,94.9727783203125
36,Mexico,MEX,2018,4.25442981719971,105.02806854248,105.360710144043,104.70987701416,105.103363037109,109.587608337402,100.758712768555,102.629280090332,101.897537231445,102.255889892578,94.6080474853516,96.2329025268555,95.3799133300781
37,Mexico,MEX,2019,4.833271980285644,104.655822753906,105.141258239746,104.191802978516,104.647239685059,109.537399291992,99.9217834472656,103.250343322754,101.713859558105,102.465538024902,93.96383209228516,95.82397766113282,94.8480941772461
38,Mexico,MEX,2020,4.833271980285644,106.3375350952148,106.38016662597661,106.2971572875978,102.0137161254883,105.62083282470681,98.50394134521498,105.35170898437521,104.9525161743162,105.1483566284182,94.4951324462891,96.0587463378906,95.2478485107422
39,India,IND,2005,3.18875002861023,109.5186599731446,110.7517013549804,108.42099914550779,53.9690589904785,49.0157699584961,58.4264984130859,97.17592773437501,93.88644104003906,95.435888671875,58.63063049316406,78.8119455973307,68.8100077311198
40,India,IND,2006,3.14284992218018,109.5186599731446,110.7517013549804,108.42099914550779,54.8829383850098,50.2382011413574,59.0530090332031,97.17592773437501,93.88644104003906,95.435888671875,50.8237609863281,75.1919021606445,62.7544708251953
41,India,IND,2007,3.3567440032959,110.020118713379,109.61157989502,110.383949279785,57.2758712768555,53.3059692382813,60.831470489502,97.17592773437502,93.88644104003906,95.435888671875,58.63063049316406,78.8119455973307,68.8100077311198
42,India,IND,2008,3.4879280090332037,110.697380065918,111.852157592773,109.669166564941,60.3564910888672,57.011890411377,63.3456192016602,95.5246429443359,94.074592590332,94.7575836181641,58.63063049316406,78.8119455973307,68.8100077311198
43,India,IND,2009,3.27824997901917,109.451072692871,111.289283752441,107.814651489258,59.6136512756348,57.5185699462891,61.4829292297363,97.0126419067383,94.6190185546875,95.7462921142578,58.63063049316406,78.8119455973307,68.8100077311198
