key,Country Name,Country Code,Year,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)"
f1818071-cdc9-42e4-bd20-aee85b3f4cb6,Mexico,MEX,2013,92.903938293457,95.1121063232422,93.9628524780273,109.926551818848,108.938812255859,109.42504119873,4.69605016708374,109.441482543945,109.007751464844,109.859748840332,93.3275527954102,95.9470520019531,90.7683868408203
9ed78714-1c37-4217-b880-5e4ea88e2362,Mexico,MEX,2014,93.5913391113281,95.6204681396484,94.5558776855469,110.774291992188,110.251930236816,110.508842468262,5.25747013092041,108.005752563477,107.700401306152,108.299682617188,97.3433837890625,100.053466796875,94.6957931518555
4aa22792-adba-4e55-b867-70939b69dd3f,Mexico,MEX,2015,93.4854965209961,95.5493316650391,94.472282409668,105.017532348633,104.805809020996,104.909820556641,5.22942018508911,106.606109619141,106.471862792969,106.735076904297,100.832740783691,104.093780517578,97.6499176025391
7c78c7e7-550a-4b1f-9083-9f53e710198f,Mexico,MEX,2016,93.9685211181641,95.8448181152344,94.859619140625,104.016471862793,103.924026489258,103.969390869141,4.90681982040405,106.277732849121,106.333168029785,106.224578857422,102.40406036377,106.149406433105,98.7559204101563
3b43144a-a1bb-417c-885b-3a0034ae5ddd,Mexico,MEX,2017,94.1657562255859,95.8723678588867,94.9727783203125,104.32096862793,103.883277893066,104.097839355469,4.51821994781494,105.770011901855,106.034690856934,105.516571044922,104.385032653809,108.219902038574,100.659362792969
27a2212f-401d-4ffa-8c35-d302f677d297,Mexico,MEX,2018,94.6080474853516,96.2329025268555,95.3799133300781,102.629280090332,101.897537231445,102.255889892578,4.25442981719971,105.02806854248,105.360710144043,104.70987701416,105.103363037109,109.587608337402,100.758712768555
7bbf8569-cb0c-4a16-bdc3-bd8155ac9d81,Mexico,MEX,2019,,,,103.250343322754,101.713859558105,102.465538024902,,104.655822753906,105.141258239746,104.191802978516,104.647239685059,109.537399291992,99.9217834472656
dece9b30-1292-42c3-b1ba-33bc7655a49f,Mexico,MEX,2020,94.4951324462891,96.0587463378906,95.2478485107422,,,,,,,,,,
89a7b08d-087f-4b33-bdcf-15e4c7ced8b9,India,IND,2005,,,,,,,3.18875002861023,,,,53.9690589904785,49.0157699584961,58.4264984130859
8db21a54-c8fc-4830-aacc-f34173bb06d7,India,IND,2006,50.8237609863281,75.1919021606445,62.7544708251953,,,,3.14284992218018,,,,54.8829383850098,50.2382011413574,59.0530090332031
38c7a543-20e6-4051-a44c-ae121cb933f6,India,IND,2007,,,,,,,,110.020118713379,109.61157989502,110.383949279785,57.2758712768555,53.3059692382813,60.831470489502
