index,country_key,date_key,education_key,health_key,quality_of_life_key,event_key
601,4,41,67,67,67,1357
602,4,41,67,67,67,1373
603,4,41,67,67,67,1374
604,4,41,67,67,67,1386
605,7,41,113,115,115,2099
606,7,41,113,115,115,2103
607,2,42,35,35,35,497
608,2,42,35,35,35,501
609,3,42,51,51,51,747
610,4,42,67,67,67,1357
611,4,42,67,67,67,1358
612,4,42,67,67,67,1363
613,4,42,67,67,67,1367
614,4,42,67,67,67,1379
615,4,42,67,67,67,1397
616,6,42,97,99,99,1971
617,2,43,35,35,35,491
618,2,43,35,35,35,492
619,2,43,35,35,35,498
620,3,43,51,51,51,747
621,3,43,51,51,51,752
622,3,43,51,51,51,754
623,3,43,51,51,51,769
624,4,43,67,67,67,1364
625,4,43,67,67,67,1377
626,4,43,67,67,67,1381
627,4,43,67,67,67,1411
628,4,43,67,67,67,1412
629,6,43,97,99,99,1971
630,7,43,113,115,115,2101
631,0,44,3,3,3,15
632,3,44,51,51,51,749
633,3,44,51,51,51,754
634,3,44,51,51,51,775
635,3,44,51,51,51,778
636,4,44,67,67,67,1360
637,4,44,67,67,67,1364
638,4,44,67,67,67,1365
639,4,44,67,67,67,1368
640,4,44,67,67,67,1369
641,4,44,67,67,67,1370
642,4,44,67,67,67,1375
643,4,44,67,67,67,1387
644,4,44,67,67,67,1398
645,4,44,67,67,67,1399
646,4,44,67,67,67,1400
647,6,44,97,99,99,1973
648,6,44,97,99,99,1974
649,7,44,113,115,115,2100
650,2,45,35,35,35,493
651,3,45,51,51,51,748
652,3,45,51,51,51,749
653,3,45,51,51,51,753
654,3,45,51,51,51,779
655,4,45,67,67,67,1380
656,4,45,67,67,67,1382
657,4,45,67,67,67,1383
658,4,45,67,67,67,1388
659,4,45,67,67,67,1401
660,4,45,67,67,67,1402
661,4,45,67,67,67,1403
662,4,45,67,67,67,1404
663,4,45,67,67,67,1410
664,4,45,67,67,67,1413
665,4,45,67,67,67,1417
666,6,45,97,99,99,1973
667,2,46,35,35,35,499
668,3,46,51,51,51,770
669,3,46,51,51,51,771
670,3,46,51,51,51,776
671,4,46,67,67,67,1359
672,4,46,67,67,67,1371
673,4,46,67,67,67,1376
674,4,46,67,67,67,1405
675,6,46,97,99,99,1972
676,2,47,35,35,35,495
677,2,47,35,35,35,500
678,3,47,51,51,51,751
679,3,47,51,51,51,772
680,4,47,67,67,67,1359
681,4,47,67,67,67,1389
682,4,47,67,67,67,1406
683,4,47,67,67,67,1415
684,7,47,113,115,115,2098
685,3,49,52,52,52,801
686,4,49,68,68,68,1418
687,4,49,68,68,68,1420
688,4,49,68,68,68,1423
689,7,49,114,116,116,2105
690,7,49,114,116,116,2107
691,3,50,52,52,52,781
692,4,50,68,68,68,1421
693,6,50,98,100,100,1979
694,7,50,114,116,116,2106
695,0,51,4,4,4,16
696,2,51,36,36,36,502
697,2,51,36,36,36,504
698,3,51,52,52,52,758
699,4,51,68,68,68,1419
700,0,52,4,4,4,18
701,2,52,36,36,36,503
702,3,52,52,52,52,795
703,4,52,68,68,68,1422
704,4,52,68,68,68,1437
705,4,52,68,68,68,1464
706,6,52,98,100,100,1978
707,7,52,114,116,116,2104
708,3,53,52,52,52,782
709,3,53,52,52,52,785
710,3,53,52,52,52,795
711,4,53,68,68,68,1437
712,4,53,68,68,68,1450
713,4,53,68,68,68,1451
714,4,53,68,68,68,1460
715,4,53,68,68,68,1461
716,6,53,98,100,100,1980
717,7,53,114,116,116,2104
718,7,53,114,116,116,2111
719,7,53,114,116,116,2115
720,2,54,36,36,36,512
721,3,54,52,52,52,786
722,3,54,52,52,52,787
723,3,54,52,52,52,795
724,4,54,68,68,68,1426
725,4,54,68,68,68,1427
726,4,54,68,68,68,1437
727,4,54,68,68,68,1438
728,4,54,68,68,68,1439
729,4,54,68,68,68,1440
730,4,54,68,68,68,1446
731,4,54,68,68,68,1452
732,7,54,114,116,116,2112
733,7,54,114,116,116,2116
734,2,55,36,36,36,510
735,3,55,52,52,52,788
736,4,55,68,68,68,1428
737,4,55,68,68,68,1430
738,4,55,68,68,68,1436
739,4,55,68,68,68,1441
740,4,55,68,68,68,1442
741,4,55,68,68,68,1453
742,6,55,98,100,100,1981
743,6,55,98,100,100,1982
744,0,56,4,4,4,17
745,0,56,4,4,4,19
746,3,56,52,52,52,790
747,3,56,52,52,52,791
748,4,56,68,68,68,1424
749,4,56,68,68,68,1425
750,4,56,68,68,68,1429
751,4,56,68,68,68,1430
752,4,56,68,68,68,1432
753,4,56,68,68,68,1433
754,4,56,68,68,68,1443
755,4,56,68,68,68,1454
756,2,57,36,36,36,505
757,2,57,36,36,36,506
758,2,57,36,36,36,507
759,3,57,52,52,52,789
760,3,57,52,52,52,792
761,3,57,52,52,52,796
762,3,57,52,52,52,800
763,4,57,68,68,68,1429
764,4,57,68,68,68,1431
765,4,57,68,68,68,1447
766,4,57,68,68,68,1455
767,4,57,68,68,68,1456
768,4,57,68,68,68,1459
769,4,57,68,68,68,1465
770,7,57,114,116,116,2109
771,2,58,36,36,36,509
772,3,58,52,52,52,784
773,3,58,52,52,52,789
774,3,58,52,52,52,797
775,3,58,52,52,52,798
776,3,58,52,52,52,799
777,4,58,68,68,68,1445
778,4,58,68,68,68,1448
779,4,58,68,68,68,1449
780,4,58,68,68,68,1462
781,6,58,98,100,100,1984
782,2,59,36,36,36,508
783,2,59,36,36,36,511
784,3,59,52,52,52,783
785,3,59,52,52,52,793
786,4,59,68,68,68,1434
787,4,59,68,68,68,1435
788,4,59,68,68,68,1444
789,4,59,68,68,68,1457
790,4,59,68,68,68,1463
791,6,59,98,100,100,1986
792,7,59,114,116,116,2110
793,7,59,114,116,116,2113
794,7,59,114,116,116,2114
795,6,60,99,101,101,1983
796,7,60,115,117,117,2108
797,2,61,37,37,37,514
798,3,61,53,53,53,794
799,3,61,53,53,53,819
800,3,61,53,53,53,829
801,4,61,69,69,69,1469
802,4,61,69,69,69,1470
803,4,61,69,69,69,1472
804,4,61,69,69,69,1512
805,4,61,69,69,69,1513
806,6,61,99,101,101,1983
807,6,61,99,101,101,1993
808,7,61,115,117,117,2108
809,7,61,115,117,117,2119
810,2,62,37,37,37,514
811,3,62,53,53,53,816
812,3,62,53,53,53,836
813,4,62,69,69,69,1473
814,4,62,69,69,69,1498
815,6,62,99,101,101,1998
816,3,63,53,53,53,832
817,4,63,69,69,69,1486
818,4,63,69,69,69,1499
819,4,63,69,69,69,1514
820,4,63,69,69,69,1516
821,4,63,69,69,69,1520
822,2,64,37,37,37,519
823,3,64,53,53,53,808
824,3,64,53,53,53,817
825,4,64,69,69,69,1474
826,6,64,99,101,101,1991
827,6,64,99,101,101,1992
828,7,64,115,117,117,2117
829,3,65,53,53,53,804
830,3,65,53,53,53,805
831,3,65,53,53,53,806
832,3,65,53,53,53,811
833,3,65,53,53,53,818
834,3,65,53,53,53,820
835,4,65,69,69,69,1467
836,4,65,69,69,69,1471
837,4,65,69,69,69,1479
838,4,65,69,69,69,1492
839,4,65,69,69,69,1497
840,4,65,69,69,69,1500
841,4,65,69,69,69,1501
842,4,65,69,69,69,1502
843,4,65,69,69,69,1523
844,6,65,99,101,101,1987
845,2,66,37,37,37,517
846,2,66,37,37,37,522
847,2,66,37,37,37,527
848,3,66,53,53,53,821
849,3,66,53,53,53,822
850,3,66,53,53,53,826
851,4,66,69,69,69,1471
852,4,66,69,69,69,1479
853,4,66,69,69,69,1480
854,4,66,69,69,69,1493
855,4,66,69,69,69,1503
856,6,66,99,101,101,1988
857,6,66,99,101,101,1990
858,6,66,99,101,101,1994
859,6,66,99,101,101,1997
860,6,66,99,101,101,1999
861,7,66,115,117,117,2118
862,2,67,37,37,37,517
863,3,67,53,53,53,810
864,3,67,53,53,53,812
865,3,67,53,53,53,823
